Product name,Product price,Product rating,Number of reviews,Product URL,Product Description,Manufacturer,Description,ASIN
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office,598,4.3 out of 5 stars,"11,878",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1690362284&sprefix=ba%2Caps%2C283&sr=8-1,,,,
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"1,199",4.0 out of 5 stars,"55,000",https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1690362284&sprefix=ba%2Caps%2C283&sr=8-2,,,,
Skybags Brat Black 46 Cms Casual Backpack,669,4.1 out of 5 stars,"5,213",https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1690362284&sprefix=ba%2Caps%2C283&sr=8-3,,,,
Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop,649,3.9 out of 5 stars,"16,623",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1690362284&sprefix=ba%2Caps%2C283&sr=8-4,,,,
Half Moon Large 37L Laptop,849,3.9 out of 5 stars,"3,248",https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1690362284&sprefix=ba%2Caps%2C283&sr=8-5,,,,
TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop,689,3.8 out of 5 stars,"2,328",https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1690362284&sprefix=ba%2Caps%2C283&sr=8-6,,,,
NORTH ZONE Casual Waterproof Laptop Backpack/Office,630,4.0 out of 5 stars,487,https://www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QQZYN/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1690362284&sprefix=ba%2Caps%2C283&sr=8-7,,,,
Northzone Lightweight school,549,4.0 out of 5 stars,125,https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3TVDK6/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1690362284&sprefix=ba%2Caps%2C283&sr=8-8,,,,
Gear Cello 30 Ltrs Black Laptop Backpack (LBPASPIRE0104),"1,125",4.4 out of 5 stars,"5,929",https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1690362284&sprefix=ba%2Caps%2C283&sr=8-9,,,,
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop,987,4.4 out of 5 stars,"5,929",https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1690362284&sprefix=ba%2Caps%2C283&sr=8-10,,,,
Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,899,3.9 out of 5 stars,"9,912",https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1690362284&sprefix=ba%2Caps%2C283&sr=8-11,,,,
Sfane Polyester 23cms Duffle/Shoulder/Gym,387,4.3 out of 5 stars,"7,650",https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_12?crid=2M096C61O4MLT&keywords=bags&qid=1690362284&sprefix=ba%2Caps%2C283&sr=8-12,,,,
Wesley Spartan Unisex Travel Hiking Laptop,749,4.1 out of 5 stars,"1,564",https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1690362284&sprefix=ba%2Caps%2C283&sr=8-13,,,,
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",4.3 out of 5 stars,584,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1690362284&sprefix=ba%2Caps%2C283&sr=8-14,,,"Care Instructions: Hand Wash OnlyWell Organized compartment ,Security Back Pocket",
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office,598,4.3 out of 5 stars,"11,878",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1690362284&sprefix=ba%2Caps%2C283&sr=8-15,,,"30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics. Compatible Laptop Size 16 inchErgonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warrantyWater Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.›See more product details",
"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",599,4.0 out of 5 stars,"1,457",https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1690362284&sprefix=ba%2Caps%2C283&sr=8-16,,,,
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office,598,4.3 out of 5 stars,"11,878",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1690362296&sprefix=ba%2Caps%2C283&sr=8-1,,,,
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"1,199",4.0 out of 5 stars,"55,000",https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1690362296&sprefix=ba%2Caps%2C283&sr=8-2,,,,
Skybags Brat Black 46 Cms Casual Backpack,669,4.1 out of 5 stars,"5,213",https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1690362296&sprefix=ba%2Caps%2C283&sr=8-3,,,,
Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop,649,3.9 out of 5 stars,"16,623",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1690362296&sprefix=ba%2Caps%2C283&sr=8-4,,,,
Half Moon Large 37L Laptop,849,3.9 out of 5 stars,"3,248",https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1690362296&sprefix=ba%2Caps%2C283&sr=8-5,,,,
TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop,689,3.8 out of 5 stars,"2,328",https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1690362296&sprefix=ba%2Caps%2C283&sr=8-6,,,,
NORTH ZONE Casual Waterproof Laptop Backpack/Office,630,4.0 out of 5 stars,487,https://www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QQZYN/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1690362296&sprefix=ba%2Caps%2C283&sr=8-7,,,,
Northzone Lightweight school,549,4.0 out of 5 stars,125,https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3TVDK6/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1690362296&sprefix=ba%2Caps%2C283&sr=8-8,,,,
Gear Cello 30 Ltrs Black Laptop Backpack (LBPASPIRE0104),"1,125",4.4 out of 5 stars,"5,929",https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1690362296&sprefix=ba%2Caps%2C283&sr=8-9,,,,
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop,987,4.4 out of 5 stars,"5,929",https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1690362296&sprefix=ba%2Caps%2C283&sr=8-10,,,,
Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,899,3.9 out of 5 stars,"9,912",https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1690362296&sprefix=ba%2Caps%2C283&sr=8-11,,,,
Sfane Polyester 23cms Duffle/Shoulder/Gym,387,4.3 out of 5 stars,"7,650",https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_12?crid=2M096C61O4MLT&keywords=bags&qid=1690362296&sprefix=ba%2Caps%2C283&sr=8-12,,,"Premium Durable Material - Travel duffel bag is made of high quality,durable material.Separate Shoes Compartment - Built-in extra shoes compartment with exterior zippers to keep your shoes and clean sport gears separate.Multi-Purpose & Any Occasions - Perfect Duffle Bag for hiking, family holiday, vacation, sports, a short trip, gym, work, beach, used as a overnight bag, a short journey bag, a weekender bag, gym bag, sports duffel bag.Adjustable Shoulder straps - Comfortable and adjustable shoulder strapAbundance of Storage - Large capacity,meet your requirement for sure and keep your stuff in order. What an amazing design for Sport Bag!",
Wesley Spartan Unisex Travel Hiking Laptop,749,4.1 out of 5 stars,"1,564",https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1690362296&sprefix=ba%2Caps%2C283&sr=8-13,,,,
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",4.3 out of 5 stars,584,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1690362296&sprefix=ba%2Caps%2C283&sr=8-14,,,,
Gear CarryOn 16L Foldable Water Resistant School,224,3.7 out of 5 stars,"6,852",https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1690362296&sprefix=ba%2Caps%2C283&sr=8-15,,,,
"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel",680,3.6 out of 5 stars,184,https://www.amazon.in/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1690362296&sprefix=ba%2Caps%2C283&sr=8-16,,,,
